Nama Akun,Ulasan
M***a,Terima kasih bonus lip matte nya
Nila,favorite 😍
M***k,puas bgt deh belanja di tokoped
Dewi,pengiriman yg sangaaaattt lama sekali
Dea,"warna sesuai, kemasan lipstiknya keren bgt👍"
Farah,keren warnanya
R***a,warna bagus. lembut dibibir
Nurmaw,"Bagusss... Real pict, semoga awet. Pengirimannya super cpt, packaging juga aman, terima kasih yaa... 🙏"
P***i,"Lipsticknya enak dipakeeeee, ringan di bibir, sekali swatch doang warnanya langsung keluar. Warnanya juga cakeeeepppp! Cocok untuk kulit yg cenderung gelap dan punya bibir hitam kaya aku, warnanya cenderung natural dan nge-blend sama wajah meskipun ngga pakai base make up samsek. Cuma pengemasan produknya sedikiiiiiitttt aja kurang safe karena meskipun udah dikasi bubblewrap dan kardus, tapi bubblewrapnya tidak diplester dengan cukup jadi lipsticknya lolos dari bubblewrapnya, hehe.. But it's okay, barangnya aku terima dengan baik dan utuh kok. Thank you, Seller! 💜"
C***a,Buat kulit sawo matang warna pinknya lebih keliatan tapi tetep amaan dipake dengan makeup atopun bare face
