Nama Akun,Ulasan
Enov,"Worth the hype! untuk para cewek2 yg lg maju mundur mau beli ini, saranku beli aja gas! Kalian gak akan nyesel karena sebagus itu. Dari packaging, warna, ketahanan top markotop. Cus buruan di check out sis!"
Garudamas,cocooookk 👍👍👍
arie,mantablah
T***a,"setelah pakai hampir 2 bulan, baru bisa review deh. ternyata ini bukan my type of lipstick sihh. ga se nyaman itu. waktu awal di apply bagus, smooth dan ringan. tapi setelah agak lama jd berasa tebel dan agak lengket. dipakai makan dll juga ga awet seperti kebanyakan review. dan hilangnya itu per spot2 agak gumpal. tidak bisa juga kalau mau re apply, karena kan bersihinnya susah apalagi hilangnya kayak spot2 kecil gitu, kl langsung tumpuk kan jelek. masa kemana2 harus bawa lip remover 🤣 emang paling bener lip cream atau lip tint aja dah. sorry make over, kali ini aku ga suka sama produk lip nya. padahal udah beli 4 warna 🙈"
T***a,"setelah pakai hampir 2 bulan, baru bisa review deh. ternyata ini bukan my type of lipstick sihh. ga se nyaman itu. waktu awal di apply bagus, smooth dan ringan. tapi setelah agak lama jd berasa tebel dan agak lengket. dipakai makan dll juga ga awet seperti kebanyakan review. dan hilangnya itu per spot2 agak gumpal. tidak bisa juga kalau mau re apply, karena kan bersihinnya susah apalagi hilangnya kayak spot2 kecil gitu, kl langsung tumpuk kan jelek. masa kemana2 harus bawa lip remover 🤣 emang paling bener lip cream atau lip tint aja dah. sorry make over, kali ini aku ga suka sama produk lip nya. padahal udah beli 4 warna 🙈"
T***a,"setelah pakai hampir 2 bulan, baru bisa review deh. ternyata ini bukan my type of lipstick sihh. ga se nyaman itu. waktu awal di apply bagus, smooth dan ringan. tapi setelah agak lama jd berasa tebel dan agak lengket. dipakai makan dll juga ga awet seperti kebanyakan review. dan hilangnya itu per spot2 agak gumpal. tidak bisa juga kalau mau re apply, karena kan bersihinnya susah apalagi hilangnya kayak spot2 kecil gitu, kl langsung tumpuk kan jelek. masa kemana2 harus bawa lip remover 🤣 emang paling bener lip cream atau lip tint aja dah. sorry make over, kali ini aku ga suka sama produk lip nya. padahal udah beli 4 warna 🙈"
T***a,"setelah pakai hampir 2 bulan, baru bisa review deh. ternyata ini bukan my type of lipstick sihh. ga se nyaman itu. waktu awal di apply bagus, smooth dan ringan. tapi setelah agak lama jd berasa tebel dan agak lengket. dipakai makan dll juga ga awet seperti kebanyakan review. dan hilangnya itu per spot2 agak gumpal. tidak bisa juga kalau mau re apply, karena kan bersihinnya susah apalagi hilangnya kayak spot2 kecil gitu, kl langsung tumpuk kan jelek. masa kemana2 harus bawa lip remover 🤣 emang paling bener lip cream atau lip tint aja dah. sorry make over, kali ini aku ga suka sama produk lip nya. padahal udah beli 4 warna 🙈"
N***y,warnanya bagus
Dias,"warnanya cantikk, nude ke peach gitu cocok sama warna kulit aku🥰 teksturnya creamy ringan juga ada efek glossynya pas buat bibir aku yang agak kering jdi tetep lembab😘 formulanya sama sekali gak lengket juga di bibir, walaupun harus nunggu 5 menitan dulu setelah di aplikasiin biar bener” kering, tpi hasilnya worth it banget menurut aku karna tahan lamaaa .. emang produk make over gak pernah gagal, cinta bangett🫰🏻🥰"
L***a,ringan dan mudah diserap wow banget
Garudamas,lanjut order lagiii
D***a,"lipsticknya sih bagus dan bener2 trasnferproof. Packagingnya jg bagus dan rapi, tapi pengirimannya sampe seminggu banget, lamaaaaaaa. Trs pas komplain, ga ada komen apa2 dari investigasinya, cm bilang lagi diinvestigasi mulu. bingung... 😭"
