Nama Akun,Ulasan
m***a,"INI OFFICIAL STORE TAPI KELAKUAN KAKI LIMA..BARANG DIKIRIM KONDISI PECAH..DIKOMPLAIN, MINTA VIDEO..UDAH JELAS PAKINGAN DIKASIH BUBLE MASA IYA PECAH DIPENGIRIMAN..JELAS2 PECAH SBLM DIKIRIM !!! SAYA BELI 2 BIJI, 1 AJA YG PECAH..KAN ANEH..KLO PECAH DIPENGIRIMAN PASTI KEDUANYA PECAH.. JANGAN NIPU KALAU JUALAN ONLINE !!! PDHL BRAND UDAH BAGUS KELAKUAN GAK JUJUR.. ITU BRG G LAKU DI OFFLINE KRN PECAH MAKANYA DI JUAL ONLINE YA.. COBA TEMEN2 YG MAU BELI LIAT FOTO YG SAYA KIRIM YA..BIAR PAHAM.. BUBLENYA TEBEL LO ITU DIDALAMNYA.. APAKAH KURIR YG MEMECAHKAN?? APAKAH PEMBELI YG PECAHIN?? KECEWA"
R***a,New formulanya bagus bangeeet mantap
Gita,Gita
Lisa,okee bgtt
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
D***a,"Butirannya halus, cukup coverage untuk daily used. Produk ini termasuk yg oksidasinya lumayan ya, jadi mungkin pakai aja 1 shade lebih terang biar nanti warnanya lebih bisa menyatu sama kulit"
Paula,udah pernah pake yg versi sblmnya dan emang sebagus itu.
Putri,Make Over Powerstay 24H Matte Powder Foundation merupakan bedak padat dengan kandungan foundation untuk mendapatkan hasil Airbrushed Smooth Cover hingga 24 jam.
R***i,"bagus warna nya, seperti gk pakai bedak, tp kalau keringat jd gatal"
Ayen,"baru mau nyoba,semoga cocok."
Ivan,"Paket sudah diterima dengan baik dan aman, dikemas dengan sangat rapi, proses dan pengiriman sangat cepat. Terima kasih. Recommended seller"
W***a,"warnanya bagus, hasilnya jg bagus dikulit, halus gt...."
E***a,"Packing aman, pengiriman cepat, kualitas ok"
y***a,pengiriman cepet dan seperti biasa paket rapi. packaging produknya jd lebih cakep dr yg sebelumnya. thank u seller
Santibi,Santibi
Leni,Leni
W***n,"selalu memuaskan, packing aman dan produk bagus"
N***k,"pengiriman cepat dan aman, dan makin cantik kemasan powerstay sekarang. makasih yaa"
N***e,N***e
yulisma,👍🏻👍🏻 kereeennn dahh Poko nyaaa
A***a,Packaging rapih jd barang aman sampe tujuan
A***e,Pengiriman lama banget beli tgl 10 dikirim tgl 11 dan tibanya tgl 14
A***i,Finally my shade match 🎉
Putri,Terima kasih gift nya.
Agnes,Udah pembelian ke 3 untuk daily sangat oke sih
Anya,Apikkkkk nyampeeee amannn
P***o,"segel paket rusak, sedikit masukan packing nya apabila di lapisi plastic lagi lebih baik untuk menghindari hal"" yang tidak di inginkan."
Septian,bagus
sri,sampe dgn aman...proses & pengiriman gercep...tq ka 😍👌
F***y,Full reviewnya ada di youtube flo ya guys ( Floury Santi )
D***a,Sbelomnya pake warm beige tapi rasanya agak kurang tepat. Coba make yg ivory. Semoga pas. Tapi buat ketahanan ini mah tahan banget malah makin berkeringat di muka makin cerah.
P***u,"barangnya sesuai description,cocok di kulit.packing rapi."
